S/No,Hausa,Polarity,English
659,acikin aji sukefada,negative,they are fighting inside class
660,adabi na doka ne,positive,literature is legal
661,adabi ne,neutral,it is literary
662,adabin yara makaranta,neutral,school children's literature
663,adadi ce,neutral,quantum
664,adalci ne,positive,it is justice
665,adali ne,positive,righteous man
666,addini ne,neutral,it is religious
667,addini yakebi,neutral,religion follower
668,addu'a ce mai kyau,positive,it is a beautiful prayer
669,addu'a mai kyau,positive,a good prayer
670,addu'a na ke yi,positive,praying
671,addu'a ne,neutral,is prayer
672,addu'a ne ai,neutral,is prayer
673,addu'a ta fi,positive,prayer is better
674,addu'a yake,positive,he is praying
675,adireshin shine,neutral,the address is
676,ado da ado,positive,decorated
677,ado mai tsada sosai,negative,very expensive decoration
678,ado sosai,positive,very decorative
679,ado ya dauka,neutral,ado took it
680,adukkan kasa,neutral,across the land
681,afocalypse yana kanmu,negative,the apocalypse is upon us
682,agogo na musamman,neutral,a special watch
683,agogo yana da lokaci,neutral,the clock has a time
684,agogo yana kunne,neutral,the clock is on
685,agrarian saurayi ne,neutral,agrarian is a young man
686,agwagi masu daraja,positive,precious ducks
687,ai fitattune,positive,they are best among
688,ai zababbune,positive,they are the best selected
689,aibi na son zuciya,negative,the defect of prejudice
690,aibi ne,negative,it is a flaw
691,aika sako,neutral,send a message
692,aika wasiku,neutral,send mail
693,aikace-aikacen don wani abu ne,neutral,the application is for something
694,aikata babban laifi,negative,commit a serious crime
695,aikata laifin,negative,commit the crime
696,aikata laifin aikata laifi,negative,committing a criminal offense
697,aikata laifin alfasha,negative,commit the crime of indecency
698,aikata laifin bata suna,negative,commit the crime of defamation
699,aikata laifin cin amanar kasa,negative,commit the crime of treason
700,aikata laifin cin hanci da rashawa,negative,commit the crime of corruption
701,aikata laifin cin zarafi,negative,commit the crime of abuse
702,aikata laifin fasa aure,negative,commit the crime of breaking up a marriage
703,aikata laifin fyade,negative,commit the crime of rape
704,aikata laifin girman kai,negative,commit the crime of pride
705,aikata laifin keta haddi,negative,commit the crime of trespassing
706,aikata laifin kisan kai,negative,commit the crime of murder
707,aikata laifin maye,negative,commit a drunken offense
708,aikata laifin mugunta,negative,commit the crime of evil
709,aikata laifin musulunci,negative,commit the crime of islam
710,aikata laifin sabo,negative,commit the crime of blasphemy
711,aikata laifin sata,negative,commit the crime of theft
712,aikata laifin satar fasaha,negative,commit the crime of piracy
713,aikata laifin satar kantuna,negative,commit the crime of shoplifting
714,aikata laifin satar mota,negative,commit the crime of car theft
715,aikata laifin sharar gida akan hanya,negative,commit the crime of littering on the road
716,aikata laifin tashin hankali,negative,commit the crime of violence
717,aikata laifin tsegumi,negative,commit the crime of gossip
718,aikata laifin zalunci,negative,commit the crime of oppression
719,aiki a tsare,neutral,work in custody
720,aiki mai kyau,positive,good work
721,aiki mai wuyar gaske,negative,hard work
722,aiki mara kyau,negative,bad job
723,aiki ne,neutral,it's a function
724,aiki ne babba,neutral,it is big work
725,aiki ne mai dadi,positive,it is a fun job
726,aiki ne sosai,negative,it was very busy
727,aiki sosai,positive,very busy
728,aiki tare,neutral,be hand in glove
729,aiki tukuru,positive,hard work
730,aiki ya,neutral,he is working
731,aiki yi,neutral,employment
732,aikin agaji ne,positive,it is a charitable activity
733,aikin aisha ne,neutral,it is aisha's work
734,aikin arna ne,neutral,it is a pagan work
735,aikin banza,negative,useless work
736,aikin da bai dace ba,negative,inappropriate work
737,aikin dattawa,neutral,the work of elders
738,aikin direbobi,neutral,the work of drivers
739,aikin fyade ne,negative,it is rape work
740,aikin gayyata yana tsare,neutral,the job of invitation is in custody
741,aikin gida,neutral,homework
742,aikin gida a tsare,neutral,homework in custody
743,aikin gyara a tsare,neutral,correction work in custody
744,aikin kafinta,neutral,carpenter's work
745,aikin kasa,neutral,land work
746,aikin kisa ne,negative,it is a killer job
747,aikin ku,neutral,your art
748,aikin ku ne kawowa,neutral,it's your job to deliver
749,aikin larabawa,neutral,the work of the arabs
750,aikin marasa aikin yi,neutral,the work of the unemployed
751,aikin masu bin doka,neutral,the work of lawmen
752,aikin masu gyaran wuta,neutral,the work of fire repairers
753,aikin masu karbar fansho,neutral,the work of pensioners
754,aikin mata,neutral,women's work
755,aikin matasa,neutral,the work of youth
756,aikin maza,neutral,the work of men
757,aikin miyagu,negative,the work of the wicked
758,aikin noma,neutral,an agricultural activity
759,aikin noma ne,neutral,farming
760,aikin sa,neutral,his work
761,aikin shugaban aji a tsare,neutral,the work of the class leader in custody
762,aikin shugaban kasa yana tsare,neutral,the job of the president is in custody
763,aikin sulhu ne,neutral,it is a work of reconciliation
764,aikin wani malami a tsare,neutral,the work of a teacher in custody
765,aikin wasu,neutral,the work of others
766,aikin wawa ne,negative,it is a fool's errand
767,aikin yahudawa,neutral,the work of the jews
768,aikin yanka,neutral,the work of slicing
769,aikin yi ne,neutral,it's employment
770,aikin zamba,negative,a fraudulent act
771,aikinsu ne,neutral,it is their job
772,aiko mana,neutral,send it to us
773,aiko mana an gama,neutral,send us and it is done
774,aiko min,neutral,send it to me
775,ainihin kyau,positive,the real beauty
776,ainihin shi ke nan,neutral,"basically, that's it"
777,aisha da wannan,neutral,aisha with this
778,aji dadin darasi,positive,enjoy the lesson
779,aji kunya sosai,negative,be very humiliated
780,ajin a tsare,neutral,class in detention
781,ajin farko,positive,first class
782,ajin shine,neutral,the class is
783,ajiye abubuwa masu kyau,positive,save the good stuff
784,ajiye alade,neutral,save the pig
785,ajiye dan wataran,neutral,back up
786,ajiye gwauruwa,positive,save the widow
787,ajiye haka,negative,flaringly so
788,ajiye jariran,positive,save the babies
789,ajiye jaririn,positive,save the baby
790,ajiye karnuka,positive,save the dogs
791,ajiye kudin,neutral,save the money
792,ajiye makamashi yana faruwa,positive,the energy-saving is happening
793,ajiye mana shi,neutral,save it for us
794,ajiye matafiya,positive,save travelers
795,ajiye motar,positive,save the car
796,ajiye mutum,positive,save a person
797,ajiye sa,neutral,save it
798,ajiye shi,neutral,save it
799,ajiye yaron,positive,save the child
800,aka amsa,neutral,there was a response
801,aka ba da amsa,neutral,the reply was given
802,aka ba da labarin,neutral,the story was told
803,aka ba da shawara,neutral,it was advocated
804,aka ba shi,neutral,it was given
805,aka ci nasara,negative,it was defeated
806,aka cire shi,negative,he was removed
807,aka gayyace shi,neutral,he was invited
808,aka gyara,neutral,it was fixed
809,aka kara,neutral,it was increased
810,aka kira shi ilham,neutral,he was called inspiration
811,aka maimaita,neutral,it was repeated
812,aka mamaye shi,negative,it was dominated
813,aka mayar da ita a fusace,negative,it was returned angrily
814,aka raba su,neutral,they were divided
815,aka sadaukar,neutral,it was dedicated
816,aka saya aka sayar,neutral,it was bought and sold
817,aka taurare har aka taurare,negative,it was hardened to the point of being hardened
818,aka tsage,neutral,it was torn
819,aka tsaya,neutral,a stop was made
820,aka watse aka tafi,neutral,it was scattered and left
821,aka yi,neutral,it was done
822,aka yi kasa,negative,it was floored
823,aka yi nasiha,negative,it was admonished
824,aka yi ta dariya,positive,there was a lot of laughter
825,aka yi ta lallashi,negative,it was beckoned
826,aka yi tafawa,neutral,there was applause
827,aka yi tunani,neutral,it was thought
828,akan shi,neutral,upon it
829,akasin haka,neutral,on the contrary
830,akasin wannan,neutral,the opposite of this
831,akuya ce,neutral,it is a goat
832,akuya ce mai lafiya,positive,it is a healthy goat
833,akuya da yaro,neutral,goat and kid
834,akuya mai lafiya,positive,a healthy goat
835,akuya mai wayo,positive,a clever goat
836,akuya ta gamsu,positive,the goat is satisfied
837,akuyar tana tafiya,neutral,the goat is walking
838,akwai a ciki,neutral,there is within
839,akwai abida,neutral,there is abidance
840,akwai abin bankyama,negative,there is abominate
841,akwai abin da za a yi bakin ciki?,negative,is there anything to bereave?
842,akwai abin hawa,neutral,there is a vehicle
843,akwai abin karfafawa,neutral,there is an incentive
844,akwai abin kyauta,neutral,there is a complimentary item
845,akwai abin lura,positive,there is a noticeable thing
846,akwai abin rufe fuska,neutral,there is a mask
847,akwai abin wasa,neutral,there is a toy
848,akwai abin wasa gare shi,positive,there is a playful element to it
849,akwai abinci,neutral,there is a meal
850,akwai abincin rana,neutral,there is a lunch
851,akwai abokin ciniki,neutral,there is a customer
852,akwai abrade,negative,there is abrade
853,akwai abu,neutral,there is a item
854,akwai abu mai ci gaba,neutral,there is a continuous thing
855,akwai abu mai kura,negative,there is a dusty substance
856,akwai abu mai mahimmanci,neutral,there is a substantive thing
857,akwai abu mai shudi,neutral,there is a blue object
858,akwai abubuwa da yawa na ban tsoro,negative,there was a lot of frenzied activity
859,akwai abubuwa daban-daban,neutral,there are various things
860,akwai abubuwa masu kyau,positive,there are positive things
861,akwai abubuwan al'ajabi,positive,there were miracles
862,akwai abubuwan jin dadi,neutral,there is an amenities
863,akwai acerbate,negative,there is acerbate
864,akwai acrimony,negative,there is acrimony
865,akwai adabi,neutral,there is literature
866,akwai adadi,neutral,there is an amount
867,akwai addinin katolika,neutral,there is a catholic religion
868,akwai addinin musulunci,neutral,there is an islamic religion
869,akwai addu'a,neutral,there is a prayer
870,akwai adireshin,neutral,there is an address
871,akwai agility,positive,there is agility
872,akwai agogo,neutral,there is a clock
873,akwai aibi,negative,there is a flaw
874,akwai aiki,neutral,there is labor
875,akwai aikin koyarwa,neutral,there is a teaching job
876,akwai ajanda,neutral,there is a agenda
877,akwai aji,neutral,there is a classroom
878,akwai ajiya,neutral,there is storage
879,akwai ajiya don abubuwa,neutral,there is storage for things
880,akwai akwai,neutral,there are exist
881,akwai akwati,neutral,there is a container
882,akwai al'ada,neutral,there is a convention
883,akwai alama,neutral,there is a trace
884,akwai alamar kyalli,neutral,there was a hint of glimmering
885,akwai albarkatu,neutral,there is a resource
886,akwai albasa,neutral,there is onion
887,akwai albashi,neutral,there is a wage
888,akwai alerji zuwa gare shi,negative,there is an allergy to it
889,akwai aljihu,neutral,there is a pocket
890,akwai alkawari,neutral,there is a commitment
891,akwai allo,neutral,there is a screen
892,akwai almara,neutral,there is a fiction
893,akwai almubazzaranci da yawa,positive,there is a lot of haphazard
894,akwai ambivalence?,negative,is there ambivalence?
895,akwai amfanin gona,neutral,there is a crop
896,akwai amincewa a cikinsa,positive,there is confidence in it
897,akwai amsa,neutral,there is a response
898,akwai anarchism,negative,there is anarchism
899,akwai anomalies,negative,there is a anomalies
900,akwai antipathy,negative,there is an antipathy
901,akwai anti-sama,negative,there is an anti-occupation
902,akwai apple,neutral,there is an apple
903,akwai arewa,neutral,there is a north
904,akwai arziki,neutral,there is fortune
905,akwai arziki a nan duniya,positive,there is sustenance in this world
906,akwai ashirin,neutral,there are twenty
907,akwai asibiti,neutral,there is a hospital
908,akwai aspersions,negative,there are aspersions
909,akwai astone,neutral,there is astone
910,akwai asusu,neutral,there is a fund
911,akwai aure,neutral,there is a marriage
912,akwai ayyuka masu yawan gaske,negative,there is a lot of frenetic activity
913,akwai ayyukan jima'i,neutral,there is sexual activity
914,akwai babba,neutral,there is a senior
915,akwai babban iko,neutral,there is a large-capacity
916,akwai babban jari,neutral,there is capital
917,akwai babi,neutral,there is a chapter
918,akwai baiwa,neutral,there is a faculty
919,akwai baki abu,neutral,there is a black object
920,akwai bakin mutum,neutral,there is a person's mouth
921,akwai bakin ruwa,neutral,there is a shore
922,akwai bakin teku,neutral,there is a beach
923,akwai bakon mutum,neutral,there is a foreign person
924,akwai bakwai,neutral,there were seven
925,akwai bala'i,negative,there is a calamity
926,akwai bam,negative,there is a bomb
927,akwai bama-bamai guda biyu,negative,there are two bombs
928,akwai bambanci,neutral,there is distinction
929,akwai band rock,neutral,there is a rock band
930,akwai banda,neutral,there is an exception
931,akwai bandaki,neutral,there is a bathroom
932,akwai bangaren ciki,neutral,there is an inner part
933,akwai bangaren nazarin halittu,neutral,there is a biological component
934,akwai bangaren yamma,neutral,there is a west side
935,akwai bango,neutral,there is a wall
936,akwai barewa,neutral,there is a deer
937,akwai bargo,neutral,there's a blanket
938,akwai barkwanci a ciki,positive,there is humor in it
939,akwai barna da yawa,negative,there is a lot of destruction
940,akwai bas,neutral,there is a bus
941,akwai bashi,negative,there is debt
942,akwai bata suna,negative,there are defamations
943,akwai bature,neutral,there is a russian
944,akwai baturi,neutral,there is a battery
945,akwai batutuwa,negative,there are issues
946,akwai bauta,negative,there is bondage
947,akwai bayanai,neutral,there is information
948,akwai bayanan baya,neutral,there is a background 
949,akwai bayanan kudi,neutral,there is financial information
950,akwai bayanin kula,neutral,there is a note
951,akwai bear,neutral,there is a bear
952,akwai bege,negative,there is desperation
953,akwai bidi'a,positive,there is innovation
954,akwai biki,positive,there is a celebration
955,akwai bikin,neutral,there is a ceremony
956,akwai bikin aure,neutral,there is a wedding
957,akwai bincike,neutral,there is research
958,akwai bindiga,neutral,there is a rifle
959,akwai biyar,neutral,there are five
960,akwai biyu,neutral,there are two
